titre,entreprise,description,localisation,date_publication,date_limite,nombre_postes,niveau_experience,niveau_etudes_requis,competences_cles,contrat_propose,teletravail,lien
Consultant Actuaire (Stage PFE) (H/F),Deloitte Extended Services,"En tant que stagiaire consultant(e) actuaire , vous interviendrez régulièrement sur : L'analyse et la modélisation des risques retraite ; La prévoyance/frais médicaux et de manière générale sur...",casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 20,Débutant,Bac +5 et plus,"['Audit ', ' Conseil']",Stage,Non,https://www.rekrute.com/offre-emploi-consultant-actuaire-stage-pfe-hf-recrutement-deloitte-extended-services-casablanca-167756.html
Graphic designer,Cnexia,  Receullir le besoin en créations graphiques et livrer ses réalisations selon le calendrier fourni par le manager communication. Concevoir tous les supports nécessaires dans le respect de la charte graphique du groupe et...,Rabat (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +2,"['Communication ', ' Publicité ', ' RP']",CDI,Non,https://www.rekrute.com/offre-emploi-graphic-designer-recrutement-cnexia-rabat-167755.html
Chargé De Développement RH (H/F),AKDITAL,"En tant que Chargé (e) développement RH , vous aurez comme principales missions :  Participer à l’ingénierie de formation et à l’élaboration du plan de formation ;  Participer au choix des...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +3,"['RH ', ' Personnel ', ' Formation']",CDI,Non,https://www.rekrute.com/offre-emploi-charge-de-developpement-rh-hf-recrutement-akdital-casablanca-167754.html
Responsable Planification & Ordonnancement,Duroc,"Dans le cadre du développement de nos activités, nous sommes à la recherche d'un Responsable Ordonnancement et Planification pour rejoindre notre station de conditionnement : Missions et responsabilités : Planifier et...",Agadir (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Achats ', ' Supply Chain']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-planification-ordonnancement-recrutement-duroc-agadir-167753.html
Testeur Informatique Anglophone (H/F),AXA Services Maroc,Le Testeur Informatique a pour missions principales d'être le représentant de l'équipe qualification au sein de l'équipe agile et de garantir à la fin du projet l'obtention d'un résultat conforme...,Salé Technopolis (Maroc),16.01.2025,16.03.2025,Postes proposés: 4,De 1 à 3 ans,Bac +4,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-testeur-informatique-anglophone-hf-recrutement-axa-services-maroc-sale-technopolis-167752.html
HR Business Partner (HRBP) (H/F),,"Les missions: Accompagnement des managers et support stratégique Conseiller et accompagner les managers sur les sujets RH (gestion des talents, performance, engagement). Assurer la mise en œuvre des politiques RH du groupe en...",Tanger (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +4,"['RH ', ' Personnel ', ' Formation']",CDI,Non,https://www.rekrute.com/offre-emploi-hr-business-partner-hrbp-hf-recrutement-confidentiel-tanger-167751.html
Chargé(e) de clientèle en émission d'appels - qualification des fiches,Eca Assurances,"Dans le cadre de la poursuite de notre développement, nous recrutons des téléconseillers en accompagnement de Crédit. Rattaché(e) au manager vos principales missions seront de : Contacter les clients ayant...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 5,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-chargee-de-clientele-en-emission-dappels---qualification-des-fiches-recrutement-eca-assurances-casablanca-167750.html
Technicien(ne) Chimiste H/F,SGS Maroc SA,"Poste :  Dans le cadre de son développement, notre laboratoire d'analyse de produits pétroliers situé Tanger Med recrute un(e) technicien(ne) chimiste.   Rattachement: Responsable de...",Tanger Med (Maroc),16.01.2025,16.03.2025,Postes proposés: 2,De 3 à 5 ans,Bac +3,"['Méthodes ', ' Process ', ' Industrialisation']",CDI,Non,https://www.rekrute.com/offre-emploi-technicienne-chimiste-hf-recrutement-sgs-maroc-sa-tanger-med-167749.html
Coordinateur(trice) Commerciale,Foods and Goods,"  Au sein de l’équipe Commerciale, vous serez en charge de : Volet Commercial : Conseiller nos clients, et proposer l’offre la plus adaptée à leur activité Réceptionner et suivre les commandes...",Bouskoura (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +2,"['Commercial ', ' Vente ', ' Export']",CDI,Non,https://www.rekrute.com/offre-emploi-coordinateurtrice-commerciale-recrutement-foods-and-goods-bouskoura-167748.html
Chargé de Conduite d'Activité H/F,Genius Services,"Nous recrutons pour l’implantation de notre centre interne au Maroc, des chargés de conduite d’activité. Vous serez en charge du suivi et de la coordination des dossiers client pour des installations techniques. Véritable...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 10,Moins de 1 an,Bac +2,"['Multimédia ', ' Internet']",CDI,Non,https://www.rekrute.com/offre-emploi-charge-de-conduite-dactivite-hf-recrutement-genius-services-casablanca-167747.html
Equipement Engineer,"Aeolon Technology co.,Ltd","Are you a highly motivated and experienced Equipment Engineer looking for a challenging and rewarding career in a dynamic and rapidly growing company? If so, we have an exciting opportunity for you in Nador, Morocco, within the thriving Other services...",Nador (Maroc),16.01.2025,16.03.2025,Postes proposés: 30,De 1 à 3 ans,Bac +5 et plus,"['Méthodes ', ' Process ', ' Industrialisation']",CDI,Non,https://www.rekrute.com/offre-emploi-equipement-engineer-recrutement-aeolon-technology-co.ltd-nador-167746.html
Brand Manager (H/F) - Sales & Marketing,Foods and Goods,"Chez Foods and Goods, nous nous engageons à créer un lien exceptionnel entre nos marques, nos clients et consommateurs. En tant que leader sur le marché, nous sommes déterminés à développer des marques qui...",Bouskoura (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +3,['Marketing'],CDI,Non,https://www.rekrute.com/offre-emploi-brand-manager-hf---sales-marketing-recrutement-foods-and-goods-bouskoura-167745.html
Pilote Complet - CASABLANCA,Manpower Agences,Description du poste : Nous recherchons un(e) Pilote Complet pour intégrer notre équipe logistique. Votre rôle sera de garantir la livraison des pièces aux clients dans les délais impartis tout en respectant les standards...,Casablanca (Maroc),,,,Moins de 1 an,Bac +4,"['Achats ', ' Supply Chain']",Intérim,Non,https://www.rekrute.com/offre-emploi-pilote-complet---casablanca-recrutement-manpower-agences-casablanca-167744.html
Team Manager Bilingue,Cnexia,"As Team Manager, your main tasks will be to: -Coach and support a team of Customer Advisors in achieving their objectives. -Ensure the application of the various performance indicators required and the overall performance of your team, as well as...",Rabat (Maroc),,,,De 3 à 5 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-team-manager-bilingue-recrutement-cnexia-rabat-167743.html
Industry Analyst - Business Partner,Orange Business,"Au sein du Groupe Orange, Orange Business est l’entité dédiée au marché des entreprises à l’échelle mondiale. Orange Business accompagne les entreprises et les organisations dans leur transformation...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Commercial ', ' Vente ', ' Export']",CDI,Non,https://www.rekrute.com/offre-emploi-industry-analyst---business-partner-recrutement-orange-business-casablanca-167742.html
Chargé de clientèle en agence BENGUERIR,Manpower Agences,"Principales missions: - Accueillir les clients - Leurs présenter les produits et services - Traiter les réclamations, les demandes d'achats, les demandes de support technique - Faire un reporting hebdomadaire de...",Benguerir (Maroc),16.01.2025,13.03.2025,Postes proposés: 5,Moins de 1 an,Bac +2,"['Commercial ', ' Vente ', ' Export']",Autre,Non,https://www.rekrute.com/offre-emploi-charge-de-clientele-en-agence-benguerir-recrutement-manpower-agences-benguerir-167677.html
Assistant(e) Back Office (H/F),Maroc Climate and Security (MCS) - Carrier,"Dans le cadre de son développement, la société MCS recrute une assistante back office s. Vous aurez pour missions principales : -  Mise à jour sur site des évaluations sous-traitants, des attestations légales...",Casablanca (Maroc),16.01.2025,03.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDD,Non,https://www.rekrute.com/offre-emploi-assistante-back-office-hf-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-167384.html
Auditeur Confirmé (H/F),PwC,Quel sera votre rôle dans les équipes de PWC Services ? Rejoindre l'aventure PwC Services en tant qu'Associate est une oppotunité pour vous de réaliser les missions suivantes: Delivery : Vous êtes responsable...,Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 20,De 1 à 3 ans,Bac +5 et plus,"['Audit ', ' Conseil']",CDI,Non,https://www.rekrute.com/offre-emploi-auditeur-confirme-hf-recrutement-pwc-casablanca-167741.html
Auditeur Sénior (H/F),PwC,"Quel sera votre rôle dans les équipes de PWC Services ? Rattaché au Manager Audit, vous aurez comme responsabilités : Assurer la montée en compétence des collaborateurs Assurer la revue des travaux des...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 5,De 3 à 5 ans,Bac +5 et plus,"['Audit ', ' Conseil']",CDI,Non,https://www.rekrute.com/offre-emploi-auditeur-senior-hf-recrutement-pwc-casablanca-167740.html
Network Engineer,COBCO,"1.Collect network requirements from business departments, organize discussions to analyze specific needs, propose reasonable network optimization plans and implementation strategies; 2.Assist in analyzing the existing network architecture and provide...",El Jadida - Jorf Lasfar - (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Production ', ' Qualité ', ' Sécurité ', ' Maintenance']",CDI,Non,https://www.rekrute.com/offre-emploi-network-engineer-recrutement-cobco-el-jadida---jorf-lasfar---167739.html
Stage en Data Analytics - Marketing,Sorec,"Rattaché à la direction marketing, votre principale mission sera de constituer et traiter de base de données Power BI. A ce titre, vos principales activités seront de: - Collecter les données : Identifier les...",Rabat (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,Débutant,Bac +4,"['Informatique ', ' Electronique']",Stage,Non,https://www.rekrute.com/offre-emploi-stage-en-data-analytics---marketing-recrutement-sorec-rabat-167738.html
"controleur de gestion ""ENCG""",,"Vous recherchez un poste stimulant au sein d'une entreprise dynamique du secteur des Autres services ? Rejoignez notre équipe à Mohammédia, au Maroc, en tant que Contrôleur de Gestion ENCG ! Ce poste clé vous permettra...",Mohammédia (Maroc),16.01.2025,16.03.2025,Postes proposés: 2,De 1 à 3 ans,Bac +4,"['Assistanat de Direction ', ' Services Généraux']",CDI,Non,https://www.rekrute.com/offre-emploi-controleur-de-gestion-encg-recrutement-confidentiel-mohammedia-167737.html
Analyste Middle Office (H/F),Attijariwafa bank,"Attijariwafa bank, premier groupe bancaire du Maghreb et acteur financier de référence en Afrique, recrute pour le pôle Corporate Investment Banking un(e) Analyste Middle Office Marchés des Capitaux. Votre rôle: En tant...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-analyste-middle-office-hf-recrutement-attijariwafa-bank-casablanca-167736.html
Technical Sales Manager,SGS Maroc SA,"Primary Responsibilities • Promote & develop O&G Downstream services with a focus on Oil Condition Monitoring services • Selling a range of SGS services related to oils and fluids, technical analysis, and condition monitoring to generate...",Maroc (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +4,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-technical-sales-manager-recrutement-sgs-maroc-sa-maroc-167637.html
Administrateur Systèmes & Bases De Données (H/F),Sorec,Vous avez l’ambition de rejoindre une équipe dynamique et innovante ? Découvrez l’opportunité de faire briller votre talent dans un environnement où chaque idée compte et où vous pouvez réellement...,Rabat (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-administrateur-systemes-bases-de-donnees-hf-recrutement-sorec-rabat-167735.html
Développeur Java/Angular Sénior,Devoteam,"Devoteam Creative Tech crée des produits digitaux performants qui comptent pour le business de nos clients et le quotidien des utilisateurs. Au sein des équipes Nearshore de Devoteam Maroc, tu rejoindras la tribue Product Studio : une...",Rabat (Maroc),16.01.2025,29.01.2025,Postes proposés: 3,De 5 à 10 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-developpeur-javaangular-senior-recrutement-devoteam-rabat-166647.html
Tech Lead Java/Angular,Devoteam,"En tant que Tech Lead Java au sein de Devoteam, vous jouerez un rôle clé dans la conception, le développement et la livraison de solutions logicielles clés. Vous dirigerez une équipe de développeurs confirmés...",Rabat (Maroc),16.01.2025,29.01.2025,Postes proposés: 3,De 5 à 10 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-tech-lead-javaangular-recrutement-devoteam-rabat-166648.html
Développeur(e) expérimenté en Java/React,Devoteam,"le/la consultant(e) aura pour mission de concevoir, développer et maintenir des applications web et mobiles performantes et robustes pour notre client, en utilisant les technologies Java et React. Il/elle devra collaborer étroitement avec...",la grande (Maroc),16.01.2025,26.02.2025,Postes proposés: 7,De 3 à 5 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-developpeure-experimente-en-javareact-recrutement-devoteam-la-grande-167325.html
Production workshop Supervisor,COBCO,Production Management: (1) Schedule daily production tasks according to the monthly production plan; (2) Check and supervise the implementation of the production plan and adjust the production plan in a timely manner; (3) According to the...,El Jadida (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Production ', ' Qualité ', ' Sécurité ', ' Maintenance']",CDI,Non,https://www.rekrute.com/offre-emploi-production-workshop-supervisor-recrutement-cobco-el-jadida-167734.html
Cloud Security Expert,AXA Group Operations Maroc,CONTEXT: AXA is a French international group specialized in insurance and asset management. The AXA brand is the world's top insurance brand for the 10th consecutive year. AXA Group Operations - Operational center of excellence of the AXA Group. At...,Rabat (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +4,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-cloud-security-expert-recrutement-axa-group-operations-maroc-rabat-167733.html
Chargé(e) clientèle service technique en réception d'appels,Manpower Agences,"Poste : Bonne communication (appels et mails à traiter) Être en capacité d’appliquer et de respecter les consignes Être à l’aise avec l’outil informatique. En effet, ils devront monter en...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 5,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-chargee-clientele-service-technique-en-reception-dappels-recrutement-manpower-agences-casablanca-167732.html
conseiller commercial,Meski Invest - Riva Industries,"Une opportunité stimulante vous attend au sein d'une entreprise dynamique du secteur de l'automobile , située à Meknès! En tant que conseiller commercial, vous serez un acteur clé de notre développement...",Meknès (Maroc),16.01.2025,16.03.2025,Postes proposés: 10,De 1 à 3 ans,Bac +2,"['Achats ', ' Supply Chain']",Autre,Non,https://www.rekrute.com/offre-emploi-conseiller-commercial-recrutement-meski-invest---riva-industries-meknes-167731.html
Commercial VO,Meski Invest - Riva Industries,"Vous rêvez d'un poste stimulant dans le secteur d'automobile  ? Rejoignez notre entreprise leader à El Jadida, Maroc, et devenez un acteur clé de notre succès en tant que Commercial VO. Dans ce rôle...",El Jadida (Maroc),16.01.2025,16.03.2025,Postes proposés: 10,De 1 à 3 ans,Bac +2,"['Administration des ventes ', ' SAV']",Autre,Non,https://www.rekrute.com/offre-emploi-commercial-vo-recrutement-meski-invest---riva-industries-el-jadida-167730.html
IAM Analyst,AXA Group Operations Maroc,"BUSINESS UNIT STATEMENT: To support our business strategy and digital transformation, AXA is establishing a new information security practice to ensure a coordinated response to the increasing cybersecurity threat, enabling consistent decision-making...",Rabat (Maroc),16.01.2025,16.03.2025,Postes proposés: 2,De 1 à 3 ans,Bac +4,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-iam-analyst-recrutement-axa-group-operations-maroc-rabat-167729.html
conseiller commercial,Meski Invest - Riva Industries,"Vous rêvez d'une carrière stimulante dans le secteur automobile  Rejoignez notre entreprise, un leader dans son domaine, située à Khénifra, au Maroc ! En tant que conseiller commercial, vous serez au cœur...",Khénifra (Maroc),16.01.2025,16.03.2025,Postes proposés: 10,De 1 à 3 ans,Bac +2,"['Commercial ', ' Vente ', ' Export']",Autre,Non,https://www.rekrute.com/offre-emploi-conseiller-commercial-recrutement-meski-invest---riva-industries-khenifra-167728.html
Expense Officer Internship,AXA Group Operations Maroc,"CONTEXTE: AXA Group Operations – Centre opérationnel d’excellence du Groupe AXA. Chez AXA, notre mission est de donner aux gens les moyens de vivre une vie meilleure. Grâce à l'innovation et à...",Rabat (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +4,"['Gestion ', ' Comptabilité ', ' Finance']",Stage,Non,https://www.rekrute.com/offre-emploi-expense-officer-internship-recrutement-axa-group-operations-maroc-rabat-167727.html
Enseignant en Architecture H/F,Université Internationale de Rabat (UIR),"Le ou la candidate aura à animer et à coordonner un enseignement dans les domaines liés à l'architecture ; Il s'intégrera à la vie pédagogique de l'université et, au sein de...",Rabat (Maroc),16.01.2025,23.02.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,['Enseignement'],CDI,Non,https://www.rekrute.com/offre-emploi-enseignant-en-architecture-hf-recrutement-universite-internationale-de-rabat-uir-rabat-167244.html
Chargé d'affaires Corporate,Finéa,"Rattaché(e) au Responsable Succursale, vos principales missions consisteront à :   v  Gestion et suivi des réalisations commerciales           §  Suivre...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-charge-daffaires-corporate-recrutement-finea-casablanca-167726.html
Ingénieur Qualité Fournisseurs (H/F),Maroc Climate and Security (MCS) - Carrier,"Missions : - Valider le système de production des fournisseurs en vérifiant la présence et pertinence des livrables de de qualification (Amdec Process, Plan de contrôle, Capabilité et R&R) - Vérifier les...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 3,De 1 à 3 ans,Bac +5 et plus,"['Production ', ' Qualité ', ' Sécurité ', ' Maintenance']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-qualite-fournisseurs-hf-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-167725.html
English-Speaking Receptionist,COBCO,"Environmental management: Responsible for inspecting the office environment of the company's headquarters, supervising cleaning and sanitation, and green plant maintenance. Meeting reception: Responsible for the execution of company meeting...",El Jadida (Maroc),16.01.2025,16.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac +2,"['Assistanat de Direction ', ' Services Généraux']",Autre,Non,https://www.rekrute.com/offre-emploi-english-speaking-receptionist-recrutement-cobco-el-jadida-166997.html
Process Safety Management & Emergencies Engineer,COBCO,"Establish key performance indicators (KPIs) for monitoring the PSM system (which is a standard issued in 1992, it helps to cover the manufacturing of explosives and processes involving threshold quantities of...",El Jadida (Maroc),16.01.2025,16.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac +3,"[""Environnement (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-processsafetymanagementemergenciesengineer-recrutement-cobco-el-jadida-167007.html
Senior Communications Manager,COBCO,"Media Communications :  1. Create and execute media plans that align with business objectives. 2.Prepare press releases, news articles and other promotional materials to ensure they convey COBCO's message in an accurate and timely manner. 3....",El Jadida (Maroc),16.01.2025,19.02.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Communication ', ' Publicité ', ' RP']",Autre,Non,https://www.rekrute.com/offre-emploi-senior-communications-manager-recrutement-cobco-el-jadida-167114.html
EHS field Specialist,COBCO,Safety inspection and hidden danger investigation:  1. Spearhead the development and implementation of field-specific EHS preventive programs. 2. Collaborate with operational teams to integrate safety measures directly applicable to field...,El Jadida (Maroc),16.01.2025,19.02.2025,Postes proposés: 3,De 1 à 3 ans,Bac,"[""Environnement (métiers de l')""]",Autre,Non,https://www.rekrute.com/offre-emploi-ehs-field-specialist-recrutement-cobco-el-jadida-167115.html
ESG specialist,COBCO,"Implementation of environmental protection policies : 1.Support the ESG Engineer in identifying and evaluating ESG risks, ensuring appropriate controls and action plans are in place. 2.Contribute to environmental data collection, including energy, water,...",El Jadida (Maroc),16.01.2025,19.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac,"[""Environnement (métiers de l')""]",Autre,Non,https://www.rekrute.com/offre-emploi-esg-specialist-recrutement-cobco-el-jadida-167117.html
Data Analyst,COBCO,"Data Collection and Management :  1.Collect, organize, and manage EHS-related data (e.g.,anomalies, incident reports, near misses, audits, environmental measurements, and safety observations). 2.Maintain and improve systems for accurate data input...",El Jadida (Maroc),16.01.2025,19.02.2025,Postes proposés: 1,De 1 à 3 ans,Bac +3,"[""Environnement (métiers de l')""]",Autre,Non,https://www.rekrute.com/offre-emploi-data-analyst-recrutement-cobco-el-jadida-167118.html
Legal specialist,PwC,Ce que vous pouvez attendre de nous : Vos missions seront les suivantes : ? Vous travaillez sur plusieurs missions au sein d’une équipe en lien avec le client. ? Vous analysez les données et documentations des clients et participez...,Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 3,Moins de 1 an,Bac +5 et plus,"['Avocat ', ' Juriste ', ' Fiscaliste']",CDI,Non,https://www.rekrute.com/offre-emploi-legal-specialist-recrutement-pwc-casablanca-167723.html
Cadre Juriste (H/F),,"Rattaché à la Direction Générale et en étroite collaboration avec les services opérationnels, vous assurerez les missions principales suivantes : • L'analyse des documents contractuels et des risques y...",. (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Avocat ', ' Juriste ', ' Fiscaliste']",CDI,Non,https://www.rekrute.com/offre-emploi-cadre-juriste-hf-recrutement-confidentiel-.-167722.html
Chargé de Comptes Entreprises (H/F),Bank Of Africa,Vos principales missions seront: Assurer le montage et le suivi des dossiers de crédit. Participer avec le Chargé d’Affaires Entreprises au développement du portefeuille clients et prospects en maîtrisant les...,Marrakech et régions (Maroc),16.01.2025,16.03.2025,Postes proposés: 100,Moins de 1 an,Bac +5 et plus,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-charge-de-comptes-entreprises-hf-recrutement-bank-of-africa-marrakech-et-regions-167721.html
